body,title,url
"
	Por iniciativa del escritor Gabriel Chávez Casazola, un total de 80 intelectuales, escritores y artistas bolivianos pidieron, a través de una carte, la atención urgente del Estado a los diarios en situación de crisis financiera y respaldaron la gestión emprendida por la Asociación Nacional de la Prensa de Bolivia (ANP).","
          80 intelectuales, escritores y artistas piden al Gobierno atención urgente a los diarios        ",https://www.lostiempos.com/actualidad/pais/20200423/80-intelectuales-escritores-artistas-piden-al-gobierno-atencion-urgente
"
	Lo que para unos son desechos, para otros significan piezas valiosas. Tal es el caso de esta persona que ayer se daba modos para llevar un tronco de árbol en la calle 27 de Agosto, en Villa Coronilla. Con fuerza, maña y paciencia, lo arrastraba metro a metro por la vía.","
          Un bien preciado        ",https://www.lostiempos.com/actualidad/cochabamba/20200423/bien-preciado
"
	Ante la aglomeración de personas que desean viajar a otras regiones, la Alcaldía de Cochabamba descentraliza a partir de este jueves la atención para recibir los permisos de traslado a las seis subalcaldías y, además, pidió acudir a los centros de salud más cercanos para la revisión médica por la emergencia sanitaria por la pandemia Covid-19.","
          Alcaldía descentraliza atención de viajeros varados por cuarentena a las subalcaldías          ",https://www.lostiempos.com/actualidad/cochabamba/20200423/alcaldia-descentraliza-atencion-viajeros-varados-cuarentena
,,https://www.lostiempos.com/etiqueta/venta-gas
"
	La edición boliviana del libro Calibán y la bruja, de la autora italiana Silvia Federici, tendrá una versión digital y gratuita. Así lo anunciaron desde el Proyecto Social y Cultural LaLibre.","
          Lanzan la versión digital y gratuita de “Calibán y la bruja”         ",https://www.lostiempos.com/doble-click/cultura/20200423/lanzan-version-digital-gratuita-caliban-bruja
"
	Nacional Seguros Vida y Salud S.A. - Cooperativa Sarco","
          Nacional Seguros Vida y Salud S.A. - Cooperativa Sarco        ",https://www.lostiempos.com/mostrador/mostrador/20200419/nacional-seguros-vida-salud-sa-cooperativa-sarco
"
	El ministro de la Presidencia, Yerko Núñez, aseguró hoy que los próximos días son claves para decidir si habrá o no una flexibilización a la cuarentena en Bolivia ante la emergencia por la Covid-19.","
          Núñez: Los próximos días son claves para decidir la flexibilización de la cuarentena         ",https://www.lostiempos.com/actualidad/pais/20200423/nunez-proximos-dias-son-claves-decidir-flexibilizacion-cuarentena
"
	Bolivia, un país caracterizado por su deficiente sistema de salud, ya se ve golpeado por la pandemia del COVID-19 (coronavirus) y se prevén escenarios de alta emergencia en los próximos meses ante el aumento diario de casos y las proyecciones que apuntan a miles de contagios. Ayer el Gobierno nacional confirmó la primera muerte por esta pandemia, una mujer de 78 años en Santa Cruz.","
          Bolivia ante la urgencia de adquirir miles de pruebas y superar las carencias médicas para contener el COVID-19        ",https://www.lostiempos.com/especial-multimedia/20200330/bolivia-urgencia-adquirir-miles-pruebas-superar-carencias-medicas
"
	En este periodo de cuarentena por la pandemia de Covid-19, la violencia contra los sectores más vulnerables del país, particularmente contra las mujeres y los menores de edad se mantiene, hecho que se agrava debido a que las víctimas tienen que convivir con sus agresores.","
          Registran 1.387 casos de violencia contra mujeres y niños en la cuarentena        ",https://www.lostiempos.com/actualidad/pais/20200423/registran-1387-casos-violencia-contra-mujeres-ninos-cuarentena
"
	Facebook lanzó ayer una aplicación de juegos independiente de su plataforma, que permite a los usuarios crear y ver transmisiones en vivo de videojuegos, y compite directamente con Twitch, de Amazon.  La nueva aplicación está disponible para dispositivos Android, y pronto habrá una versión para iOS de Apple.  Facebook dijo que la nueva aplicación permitirá a los usuarios ver ""deportes electrónicos"" o competiciones de juegos, así como participar en juegos con otros usuarios en línea.","
          Facebook lanza una aplicación para transmisión en vivo de videojuegos desde el celular        ",https://www.lostiempos.com/tendencias/tecnologia/20200421/facebook-lanza-aplicacion-transmision-vivo-videojuegos-celular
